loss,params,iteration,run_time
0.01689445972442627,"{'batch_size': 32, 'drop_out': 0.12724438697387772, 'first_layer_dense': 147, 'hidden_layer_activation': 'selu', 'learning_rate': 0.001, 'num_epochs': 11.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'hard_sigmoid', 'second_layer_dense': 35, 'third_layer_dense': 31}",21,74.34737660107203
0.013665974140167236,"{'batch_size': 32, 'drop_out': 0.13819556957723297, 'first_layer_dense': 144, 'hidden_layer_activation': 'selu', 'learning_rate': 0.001, 'num_epochs': 12.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 34, 'third_layer_dense': 30}",22,78.77536249393597
0.01388537883758545,"{'batch_size': 32, 'drop_out': 0.1579637326539407, 'first_layer_dense': 31, 'hidden_layer_activation': 'selu', 'learning_rate': 0.001, 'num_epochs': 12.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 34, 'third_layer_dense': 29}",23,78.34111693990417
0.013791382312774658,"{'batch_size': 32, 'drop_out': 0.14307836079934275, 'first_layer_dense': 142, 'hidden_layer_activation': 'selu', 'learning_rate': 0.001, 'num_epochs': 13.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 33, 'third_layer_dense': 27}",24,84.81171736004762
0.1622680425643921,"{'batch_size': 32, 'drop_out': 0.16954888280243358, 'first_layer_dense': 150, 'hidden_layer_activation': 'selu', 'learning_rate': 0.001, 'num_epochs': 13.0, 'optimizer': 'SGD', 'output_layer_activation': 'exponential', 'second_layer_dense': 33, 'third_layer_dense': 27}",25,73.61583226313815
0.8395812511444092,"{'batch_size': 32, 'drop_out': 0.0979879787074938, 'first_layer_dense': 139, 'hidden_layer_activation': 'selu', 'learning_rate': 0.001, 'num_epochs': 14.0, 'optimizer': 'Adamax', 'output_layer_activation': 'softmax', 'second_layer_dense': 37, 'third_layer_dense': 24}",26,94.57834052899852
0.13499873876571655,"{'batch_size': 32, 'drop_out': 0.2074164051204352, 'first_layer_dense': 97, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.001, 'num_epochs': 12.0, 'optimizer': 'Adadelta', 'output_layer_activation': 'elu', 'second_layer_dense': 36, 'third_layer_dense': 32}",27,81.50897928187624
0.013509273529052734,"{'batch_size': 128, 'drop_out': 0.09038792802671781, 'first_layer_dense': 140, 'hidden_layer_activation': 'relu', 'learning_rate': 0.001, 'num_epochs': 18.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 30, 'third_layer_dense': 20}",28,28.88315528910607
0.012976408004760742,"{'batch_size': 128, 'drop_out': 0.08036201267428356, 'first_layer_dense': 135, 'hidden_layer_activation': 'relu', 'learning_rate': 0.001, 'num_epochs': 18.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 31, 'third_layer_dense': 19}",29,28.62083795410581
0.013634681701660156,"{'batch_size': 128, 'drop_out': 0.08126381020985476, 'first_layer_dense': 94, 'hidden_layer_activation': 'relu', 'learning_rate': 0.001, 'num_epochs': 18.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 30, 'third_layer_dense': 20}",30,28.841810347978026
