loss,params,iteration,run_time
0.022003352642059326,"{'batch_size': 32, 'drop_out': 0.3255074481044679, 'first_layer_dense': 48, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.1, 'num_epochs': 17.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'relu', 'second_layer_dense': 42, 'third_layer_dense': 32}",1,600.5490891090012
1.0,"{'batch_size': 32, 'drop_out': 0.39727508397008704, 'first_layer_dense': 81, 'hidden_layer_activation': 'exponential', 'learning_rate': 0.01, 'num_epochs': 18.0, 'optimizer': 'Adamax', 'output_layer_activation': 'linear', 'second_layer_dense': 39, 'third_layer_dense': 29}",2,637.2786389800021
0.999918506029644,"{'batch_size': 128, 'drop_out': 0.4265204144140186, 'first_layer_dense': 129, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 14.0, 'optimizer': 'SGD', 'output_layer_activation': 'linear', 'second_layer_dense': 50, 'third_layer_dense': 26}",3,193.1592127699987
0.1604490876197815,"{'batch_size': 64, 'drop_out': 0.4150463328392716, 'first_layer_dense': 113, 'hidden_layer_activation': 'tanh', 'learning_rate': 0.1, 'num_epochs': 16.0, 'optimizer': 'Adam', 'output_layer_activation': 'relu', 'second_layer_dense': 31, 'third_layer_dense': 19}",4,350.019381960039
0.1604490876197815,"{'batch_size': 16, 'drop_out': 0.49918730834982356, 'first_layer_dense': 53, 'hidden_layer_activation': 'relu', 'learning_rate': 0.1, 'num_epochs': 5.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'relu', 'second_layer_dense': 48, 'third_layer_dense': 10}",5,284.663210370054
0.8373066931962967,"{'batch_size': 64, 'drop_out': 0.49922041945093126, 'first_layer_dense': 117, 'hidden_layer_activation': 'elu', 'learning_rate': 0.01, 'num_epochs': 7.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'tanh', 'second_layer_dense': 39, 'third_layer_dense': 18}",6,150.66604345699307
0.1604490876197815,"{'batch_size': 16, 'drop_out': 0.39512447811728724, 'first_layer_dense': 126, 'hidden_layer_activation': 'hard_sigmoid', 'learning_rate': 0.01, 'num_epochs': 15.0, 'optimizer': 'NAdam', 'output_layer_activation': 'relu', 'second_layer_dense': 37, 'third_layer_dense': 24}",7,1492.150529902021
0.1611449122428894,"{'batch_size': 64, 'drop_out': 0.031167309835796242, 'first_layer_dense': 119, 'hidden_layer_activation': 'softplus', 'learning_rate': 0.01, 'num_epochs': 9.0, 'optimizer': 'Adamax', 'output_layer_activation': 'softplus', 'second_layer_dense': 46, 'third_layer_dense': 16}",8,285.2090660369722
0.21447330713272095,"{'batch_size': 16, 'drop_out': 0.429093923408751, 'first_layer_dense': 86, 'hidden_layer_activation': 'linear', 'learning_rate': 0.001, 'num_epochs': 10.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'relu', 'second_layer_dense': 39, 'third_layer_dense': 22}",9,777.6213281370001
1.0,"{'batch_size': 16, 'drop_out': 0.042569477215831264, 'first_layer_dense': 52, 'hidden_layer_activation': 'hard_sigmoid', 'learning_rate': 0.01, 'num_epochs': 6.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'softsign', 'second_layer_dense': 41, 'third_layer_dense': 26}",10,550.8512022920186
