loss,distance,FGSM,BIM-A,BIM-B,deepfool,params
0.013318538665771484,0.1947501,0.47280800342559814,0.44173142313957214,0.45948946475982666,0.662597119808197,"{'batch_size': 16, 'drop_out': 0.44564614165819555, 'first_layer_dense': 121, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 14.0, 'optimizer': 'SGD', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 31, 'third_layer_dense': 19}"
0.013318538665771484,0.059076756,0.40843507647514343,0.29633739590644836,0.38179799914360046,0.6648168563842773,"{'batch_size': 16, 'drop_out': 0.2779406358565614, 'first_layer_dense': 50, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 15.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 32, 'third_layer_dense': 16}"
0.013318538665771484,0.14271419,0.22419533133506775,0.16759157180786133,0.3029966652393341,0.6614872217178345,"{'batch_size': 64, 'drop_out': 0.30389558555417256, 'first_layer_dense': 73, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 14.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 32, 'third_layer_dense': 16}"
0.013318538665771484,0.031903684,0.30410653352737427,0.23640400171279907,0.3529411852359772,0.6681464910507202,"{'batch_size': 16, 'drop_out': 0.29710590728289954, 'first_layer_dense': 98, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 15.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 30, 'third_layer_dense': 16}"
0.013318538665771484,0.3442559,0.47502774000167847,0.5094339847564697,0.5105438232421875,0.6825749278068542,"{'batch_size': 32, 'drop_out': 0.13902958288695888, 'first_layer_dense': 95, 'hidden_layer_activation': 'selu', 'learning_rate': 0.1, 'num_epochs': 12.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 33, 'third_layer_dense': 31}"
0.013318538665771484,0.2714768,0.4605993330478668,0.4228634834289551,0.45504993200302124,0.6614872217178345,"{'batch_size': 32, 'drop_out': 0.3461198992328765, 'first_layer_dense': 55, 'hidden_layer_activation': 'sigmoid', 'learning_rate': 0.1, 'num_epochs': 16.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 33, 'third_layer_dense': 19}"
0.013318538665771484,0.06825474,0.2930077612400055,0.2075471729040146,0.3451720178127289,0.6825749278068542,"{'batch_size': 16, 'drop_out': 0.19885526100035616, 'first_layer_dense': 116, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 14.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 31, 'third_layer_dense': 16}"
0.013318538665771484,0.13024749,0.36625972390174866,0.26304107904434204,0.3651498258113861,0.6614872217178345,"{'batch_size': 16, 'drop_out': 0.32561504174551076, 'first_layer_dense': 103, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 14.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 47, 'third_layer_dense': 20}"
0.013318538665771484,0.57060474,0.4894561469554901,0.5038845539093018,0.49611541628837585,0.6448390483856201,"{'batch_size': 32, 'drop_out': 0.3255074481044679, 'first_layer_dense': 48, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.1, 'num_epochs': 17.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'relu', 'second_layer_dense': 42, 'third_layer_dense': 32}"
0.013318538665771484,0.18681623,0.4994450509548187,0.38956713676452637,0.45172029733657837,0.6759156584739685,"{'batch_size': 64, 'drop_out': 0.19128825592342324, 'first_layer_dense': 117, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 13.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 30, 'third_layer_dense': 17}"
0.013318538665771484,0.21816085,0.48612651228904724,0.4872364103794098,0.4839067757129669,0.6248612403869629,"{'batch_size': 16, 'drop_out': 0.37267560489213414, 'first_layer_dense': 59, 'hidden_layer_activation': 'softplus', 'learning_rate': 0.1, 'num_epochs': 20.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 42, 'third_layer_dense': 14}"
0.013318538665771484,0.38482317,0.4839067757129669,0.4694783687591553,0.4694783687591553,0.6448390483856201,"{'batch_size': 128, 'drop_out': 0.1467857004569374, 'first_layer_dense': 65, 'hidden_layer_activation': 'tanh', 'learning_rate': 0.1, 'num_epochs': 18.0, 'optimizer': 'SGD', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 31, 'third_layer_dense': 11}"
0.013318538665771484,0.13682762,0.48279687762260437,0.5138734579086304,0.5049944519996643,0.7769145369529724,"{'batch_size': 16, 'drop_out': 0.3350145314367382, 'first_layer_dense': 113, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.1, 'num_epochs': 17.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 33, 'third_layer_dense': 17}"
0.013318538665771484,0.3900772,0.4794672727584839,0.4528301954269409,0.4639289677143097,0.653718113899231,"{'batch_size': 128, 'drop_out': 0.1723648246569594, 'first_layer_dense': 66, 'hidden_layer_activation': 'tanh', 'learning_rate': 0.1, 'num_epochs': 19.0, 'optimizer': 'SGD', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 31, 'third_layer_dense': 10}"
0.013318538665771484,0.38438728,0.48057714104652405,0.461709201335907,0.4661487340927124,0.6581575870513916,"{'batch_size': 128, 'drop_out': 0.14480200658702233, 'first_layer_dense': 66, 'hidden_layer_activation': 'tanh', 'learning_rate': 0.1, 'num_epochs': 18.0, 'optimizer': 'SGD', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 33, 'third_layer_dense': 11}"
0.013318538665771484,0.0890345,0.31964483857154846,0.24306325614452362,0.3596004545688629,0.6614872217178345,"{'batch_size': 16, 'drop_out': 0.22672605335243695, 'first_layer_dense': 92, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 13.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 33, 'third_layer_dense': 24}"
0.013318538665771484,0.27524805,0.4716981053352356,0.41065484285354614,0.44950056076049805,0.6492785811424255,"{'batch_size': 16, 'drop_out': 0.2006280741006094, 'first_layer_dense': 75, 'hidden_layer_activation': 'tanh', 'learning_rate': 0.1, 'num_epochs': 18.0, 'optimizer': 'SGD', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 34, 'third_layer_dense': 10}"
0.013318538665771484,0.40661705,0.4661487340927124,0.45172029733657837,0.476137638092041,0.68923419713974,"{'batch_size': 32, 'drop_out': 0.12724438697387772, 'first_layer_dense': 33, 'hidden_layer_activation': 'selu', 'learning_rate': 0.1, 'num_epochs': 12.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 35, 'third_layer_dense': 31}"
0.014428436756134031,0.046975948,0.2930077612400055,0.19755826890468597,0.3318535089492798,0.6614872217178345,"{'batch_size': 16, 'drop_out': 0.2532604314989266, 'first_layer_dense': 111, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 15.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 30, 'third_layer_dense': 15}"
0.014428436756134031,0.086974,0.30743616819381714,0.23418423533439636,0.3396226465702057,0.7413984537124634,"{'batch_size': 16, 'drop_out': 0.31683871181072715, 'first_layer_dense': 77, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 8.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 31, 'third_layer_dense': 16}"
0.014428436756134031,0.081940785,0.41287457942962646,0.35849055647850037,0.40843507647514343,0.6903440356254578,"{'batch_size': 16, 'drop_out': 0.31629478758531665, 'first_layer_dense': 92, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 13.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 33, 'third_layer_dense': 25}"
0.014428436756134031,0.22662492,0.3385127782821655,0.2563818097114563,0.3573806881904602,0.6637070178985596,"{'batch_size': 32, 'drop_out': 0.10754232034783005, 'first_layer_dense': 67, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 14.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 32, 'third_layer_dense': 25}"
