loss,params,iteration,run_time
0.2151792049407959,"{'batch_size': 32, 'drop_out': 0.3255074481044679, 'first_layer_dense': 48, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.1, 'num_epochs': 17.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'relu', 'second_layer_dense': 42, 'third_layer_dense': 32}",1,137.88676259596832
1.0,"{'batch_size': 32, 'drop_out': 0.39727508397008704, 'first_layer_dense': 81, 'hidden_layer_activation': 'exponential', 'learning_rate': 0.01, 'num_epochs': 18.0, 'optimizer': 'Adamax', 'output_layer_activation': 'linear', 'second_layer_dense': 39, 'third_layer_dense': 29}",2,145.33873128006235
0.9997782114951406,"{'batch_size': 128, 'drop_out': 0.4265204144140186, 'first_layer_dense': 129, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 14.0, 'optimizer': 'SGD', 'output_layer_activation': 'linear', 'second_layer_dense': 50, 'third_layer_dense': 26}",3,26.686070929048583
0.5845014154911041,"{'batch_size': 64, 'drop_out': 0.4150463328392716, 'first_layer_dense': 113, 'hidden_layer_activation': 'tanh', 'learning_rate': 0.1, 'num_epochs': 16.0, 'optimizer': 'Adam', 'output_layer_activation': 'relu', 'second_layer_dense': 31, 'third_layer_dense': 19}",4,74.62947921897285
0.6163058876991272,"{'batch_size': 16, 'drop_out': 0.49918730834982356, 'first_layer_dense': 53, 'hidden_layer_activation': 'relu', 'learning_rate': 0.1, 'num_epochs': 5.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'relu', 'second_layer_dense': 48, 'third_layer_dense': 10}",5,73.68387011485174
0.6141767203807831,"{'batch_size': 64, 'drop_out': 0.49922041945093126, 'first_layer_dense': 117, 'hidden_layer_activation': 'elu', 'learning_rate': 0.01, 'num_epochs': 7.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'tanh', 'second_layer_dense': 39, 'third_layer_dense': 18}",6,27.637178093893453
0.6123136878013611,"{'batch_size': 16, 'drop_out': 0.39512447811728724, 'first_layer_dense': 126, 'hidden_layer_activation': 'hard_sigmoid', 'learning_rate': 0.01, 'num_epochs': 15.0, 'optimizer': 'NAdam', 'output_layer_activation': 'relu', 'second_layer_dense': 37, 'third_layer_dense': 24}",7,336.97627223003656
0.43732255697250366,"{'batch_size': 64, 'drop_out': 0.031167309835796242, 'first_layer_dense': 119, 'hidden_layer_activation': 'softplus', 'learning_rate': 0.01, 'num_epochs': 9.0, 'optimizer': 'Adamax', 'output_layer_activation': 'softplus', 'second_layer_dense': 46, 'third_layer_dense': 16}",8,38.83515182486735
0.635956346988678,"{'batch_size': 16, 'drop_out': 0.429093923408751, 'first_layer_dense': 86, 'hidden_layer_activation': 'linear', 'learning_rate': 0.001, 'num_epochs': 10.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'relu', 'second_layer_dense': 39, 'third_layer_dense': 22}",9,154.6029693421442
1.0,"{'batch_size': 16, 'drop_out': 0.042569477215831264, 'first_layer_dense': 52, 'hidden_layer_activation': 'hard_sigmoid', 'learning_rate': 0.01, 'num_epochs': 6.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'softsign', 'second_layer_dense': 41, 'third_layer_dense': 26}",10,106.94208421907388
0.6540542840957642,"{'batch_size': 32, 'drop_out': 0.48321188079145533, 'first_layer_dense': 112, 'hidden_layer_activation': 'selu', 'learning_rate': 0.001, 'num_epochs': 13.0, 'optimizer': 'Adadelta', 'output_layer_activation': 'softsign', 'second_layer_dense': 44, 'third_layer_dense': 22}",11,131.78607924701646
1.0,"{'batch_size': 64, 'drop_out': 0.01703833079751277, 'first_layer_dense': 66, 'hidden_layer_activation': 'sigmoid', 'learning_rate': 0.1, 'num_epochs': 7.0, 'optimizer': 'NAdam', 'output_layer_activation': 'tanh', 'second_layer_dense': 30, 'third_layer_dense': 28}",12,37.55150184012018
0.9827004969120026,"{'batch_size': 64, 'drop_out': 0.36251822820202373, 'first_layer_dense': 125, 'hidden_layer_activation': 'tanh', 'learning_rate': 0.01, 'num_epochs': 9.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'selu', 'second_layer_dense': 35, 'third_layer_dense': 12}",13,36.13498933892697
0.5692423582077026,"{'batch_size': 16, 'drop_out': 0.25607085554811615, 'first_layer_dense': 108, 'hidden_layer_activation': 'elu', 'learning_rate': 0.1, 'num_epochs': 16.0, 'optimizer': 'NAdam', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 44, 'third_layer_dense': 24}",14,319.2130941329524
0.25261712074279785,"{'batch_size': 32, 'drop_out': 0.2661806376140438, 'first_layer_dense': 35, 'hidden_layer_activation': 'selu', 'learning_rate': 0.1, 'num_epochs': 11.0, 'optimizer': 'Adamax', 'output_layer_activation': 'sigmoid', 'second_layer_dense': 39, 'third_layer_dense': 30}",15,98.10277331992984
0.6237579882144928,"{'batch_size': 32, 'drop_out': 0.40514906769251396, 'first_layer_dense': 104, 'hidden_layer_activation': 'softplus', 'learning_rate': 0.1, 'num_epochs': 20.0, 'optimizer': 'Adamax', 'output_layer_activation': 'softplus', 'second_layer_dense': 44, 'third_layer_dense': 17}",16,164.7104328079149
1.0,"{'batch_size': 128, 'drop_out': 0.43377259236856286, 'first_layer_dense': 55, 'hidden_layer_activation': 'exponential', 'learning_rate': 0.1, 'num_epochs': 20.0, 'optimizer': 'Adam', 'output_layer_activation': 'softplus', 'second_layer_dense': 42, 'third_layer_dense': 11}",17,49.1550131610129
0.9938786374405026,"{'batch_size': 64, 'drop_out': 0.03601133609831253, 'first_layer_dense': 76, 'hidden_layer_activation': 'linear', 'learning_rate': 0.01, 'num_epochs': 9.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'selu', 'second_layer_dense': 49, 'third_layer_dense': 14}",18,35.4828033009544
0.6603087186813354,"{'batch_size': 128, 'drop_out': 0.3080989650445953, 'first_layer_dense': 82, 'hidden_layer_activation': 'linear', 'learning_rate': 0.001, 'num_epochs': 16.0, 'optimizer': 'Adam', 'output_layer_activation': 'relu', 'second_layer_dense': 32, 'third_layer_dense': 22}",19,39.13775608316064
0.23948723077774048,"{'batch_size': 32, 'drop_out': 0.34061064437350275, 'first_layer_dense': 106, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.001, 'num_epochs': 10.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'hard_sigmoid', 'second_layer_dense': 42, 'third_layer_dense': 31}",20,86.474269855069
0.21495741605758667,"{'batch_size': 32, 'drop_out': 0.12338001574994656, 'first_layer_dense': 147, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.001, 'num_epochs': 12.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'hard_sigmoid', 'second_layer_dense': 36, 'third_layer_dense': 32}",21,102.93152328184806
0.5692423582077026,"{'batch_size': 32, 'drop_out': 0.16950600206449054, 'first_layer_dense': 146, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.001, 'num_epochs': 12.0, 'optimizer': 'SGD', 'output_layer_activation': 'hard_sigmoid', 'second_layer_dense': 34, 'third_layer_dense': 32}",22,87.94726817402989
0.43075764179229736,"{'batch_size': 32, 'drop_out': 0.14520469064432878, 'first_layer_dense': 33, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.001, 'num_epochs': 18.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'softmax', 'second_layer_dense': 36, 'third_layer_dense': 32}",23,151.11012451699935
0.5692423582077026,"{'batch_size': 32, 'drop_out': 0.1766012975839575, 'first_layer_dense': 139, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.001, 'num_epochs': 18.0, 'optimizer': 'Adadelta', 'output_layer_activation': 'elu', 'second_layer_dense': 37, 'third_layer_dense': 27}",24,169.70594100886956
0.43075764179229736,"{'batch_size': 32, 'drop_out': 0.09903316969950562, 'first_layer_dense': 44, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.001, 'num_epochs': 13.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'exponential', 'second_layer_dense': 33, 'third_layer_dense': 30}",25,100.52983057312667
0.276481568813324,"{'batch_size': 32, 'drop_out': 0.20727820373420375, 'first_layer_dense': 98, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.1, 'num_epochs': 14.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'hard_sigmoid', 'second_layer_dense': 37, 'third_layer_dense': 32}",26,121.55695117311552
0.5692423582077026,"{'batch_size': 32, 'drop_out': 0.08779598938403965, 'first_layer_dense': 66, 'hidden_layer_activation': 'sigmoid', 'learning_rate': 0.001, 'num_epochs': 12.0, 'optimizer': 'Adadelta', 'output_layer_activation': 'hard_sigmoid', 'second_layer_dense': 46, 'third_layer_dense': 25}",27,113.39272551401518
0.8497161120176315,"{'batch_size': 32, 'drop_out': 0.3099614367723255, 'first_layer_dense': 93, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.001, 'num_epochs': 19.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'exponential', 'second_layer_dense': 35, 'third_layer_dense': 28}",28,151.17795344581828
0.9999112845980562,"{'batch_size': 128, 'drop_out': 0.2236255442477403, 'first_layer_dense': 148, 'hidden_layer_activation': 'relu', 'learning_rate': 0.1, 'num_epochs': 18.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'elu', 'second_layer_dense': 41, 'third_layer_dense': 29}",29,36.94909794884734
1.0,"{'batch_size': 32, 'drop_out': 0.10787034340434881, 'first_layer_dense': 67, 'hidden_layer_activation': 'exponential', 'learning_rate': 0.001, 'num_epochs': 17.0, 'optimizer': 'SGD', 'output_layer_activation': 'linear', 'second_layer_dense': 38, 'third_layer_dense': 20}",30,113.59855956118554
0.43075764179229736,"{'batch_size': 32, 'drop_out': 0.28932216333766964, 'first_layer_dense': 42, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.1, 'num_epochs': 14.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'softmax', 'second_layer_dense': 46, 'third_layer_dense': 29}",31,116.67745856405236
0.9985805535688996,"{'batch_size': 128, 'drop_out': 0.13125781899328418, 'first_layer_dense': 72, 'hidden_layer_activation': 'softsign', 'learning_rate': 0.1, 'num_epochs': 15.0, 'optimizer': 'SGD', 'output_layer_activation': 'linear', 'second_layer_dense': 40, 'third_layer_dense': 31}",32,28.503448308911175
0.28282469511032104,"{'batch_size': 32, 'drop_out': 0.06617926246319586, 'first_layer_dense': 135, 'hidden_layer_activation': 'tanh', 'learning_rate': 0.1, 'num_epochs': 15.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'hard_sigmoid', 'second_layer_dense': 33, 'third_layer_dense': 27}",33,115.98179350001737
0.6022888720035553,"{'batch_size': 32, 'drop_out': 0.216326512644894, 'first_layer_dense': 96, 'hidden_layer_activation': 'relu', 'learning_rate': 0.001, 'num_epochs': 11.0, 'optimizer': 'Adam', 'output_layer_activation': 'relu', 'second_layer_dense': 43, 'third_layer_dense': 30}",34,99.55500944005325
0.23611605167388916,"{'batch_size': 128, 'drop_out': 0.3611287451381133, 'first_layer_dense': 59, 'hidden_layer_activation': 'softmax', 'learning_rate': 0.1, 'num_epochs': 17.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'tanh', 'second_layer_dense': 31, 'third_layer_dense': 24}",35,36.42990226089023
1.0,"{'batch_size': 16, 'drop_out': 0.1847244678582014, 'first_layer_dense': 42, 'hidden_layer_activation': 'elu', 'learning_rate': 0.01, 'num_epochs': 8.0, 'optimizer': 'NAdam', 'output_layer_activation': 'relu', 'second_layer_dense': 48, 'third_layer_dense': 15}",36,163.0571860091295
0.23771291971206665,"{'batch_size': 32, 'drop_out': 0.46242044054681436, 'first_layer_dense': 87, 'hidden_layer_activation': 'softplus', 'learning_rate': 0.1, 'num_epochs': 19.0, 'optimizer': 'Adamax', 'output_layer_activation': 'hard_sigmoid', 'second_layer_dense': 40, 'third_layer_dense': 20}",37,160.68395504518412
0.6177253425121307,"{'batch_size': 64, 'drop_out': 0.2790585736421592, 'first_layer_dense': 137, 'hidden_layer_activation': 'hard_sigmoid', 'learning_rate': 0.001, 'num_epochs': 11.0, 'optimizer': 'RMSprop', 'output_layer_activation': 'relu', 'second_layer_dense': 38, 'third_layer_dense': 26}",38,51.04375384794548
0.6112934648990631,"{'batch_size': 16, 'drop_out': 0.23731110553381402, 'first_layer_dense': 119, 'hidden_layer_activation': 'selu', 'learning_rate': 0.01, 'num_epochs': 14.0, 'optimizer': 'Adagrad', 'output_layer_activation': 'softsign', 'second_layer_dense': 45, 'third_layer_dense': 23}",39,231.40472714602947
